日期,时间,组别,主队,客队
2026-06-12,03:00,组A,墨西哥,南非
2026-06-12,10:00,组A,韩国,捷克
2026-06-13,03:00,组B,加拿大,波斯尼亚
2026-06-13,09:00,组D,美国,巴拉圭
2026-06-14,03:00,组B,卡塔尔,瑞士
2026-06-14,06:00,组C,巴西,摩洛哥
2026-06-14,09:00,组C,海地,苏格兰
2026-06-14,12:00,组D,澳大利亚,土耳其
2026-06-15,01:00,组E,德国,库拉索岛
2026-06-15,04:00,组F,荷兰,日本
2026-06-15,07:00,组E,科特迪瓦,厄瓜多尔
2026-06-15,10:00,组F,瑞典,突尼斯
2026-06-16,00:00,组H,西班牙,佛得角
2026-06-16,03:00,组G,比利时,埃及
2026-06-16,06:00,组H,沙特阿拉伯,乌拉圭
2026-06-16,09:00,组G,伊朗,新西兰
2026-06-17,03:00,组I,法国,塞内加尔
2026-06-17,06:00,组I,伊拉克,挪威
2026-06-17,09:00,组J,阿根廷,阿尔及利亚
2026-06-17,12:00,组J,奥地利,约旦
2026-06-18,01:00,组K,葡萄牙,刚果民主共和国
2026-06-18,04:00,组L,英格兰,克罗地亚
2026-06-18,07:00,组L,加纳,巴拿马
2026-06-18,10:00,组K,乌兹别克斯坦,哥伦比亚
2026-06-19,00:00,组A,捷克,南非
2026-06-19,03:00,组B,瑞士,波斯尼亚
2026-06-19,06:00,组B,加拿大,卡塔尔
2026-06-19,09:00,组A,墨西哥,韩国
2026-06-20,03:00,组D,美国,澳大利亚
2026-06-20,06:00,组C,苏格兰,摩洛哥
2026-06-20,08:30,组C,巴西,海地
2026-06-20,11:00,组D,土耳其,巴拉圭
2026-06-21,01:00,组F,荷兰,瑞典
2026-06-21,04:00,组E,德国,科特迪瓦
2026-06-21,08:00,组E,厄瓜多尔,库拉索岛
2026-06-21,12:00,组F,突尼斯,日本
2026-06-22,00:00,组H,西班牙,沙特阿拉伯
2026-06-22,03:00,组G,比利时,伊朗
2026-06-22,06:00,组H,乌拉圭,佛得角
2026-06-22,09:00,组G,新西兰,埃及
2026-06-23,01:00,组J,阿根廷,奥地利
2026-06-23,05:00,组I,法国,伊拉克
2026-06-23,08:00,组I,挪威,塞内加尔
2026-06-23,11:00,组J,约旦,阿尔及利亚
2026-06-24,01:00,组K,葡萄牙,乌兹别克斯坦
2026-06-24,04:00,组L,英格兰,加纳
2026-06-24,07:00,组L,巴拿马,克罗地亚
2026-06-24,10:00,组K,哥伦比亚,刚果民主共和国
2026-06-25,03:00,组B,瑞士,加拿大
2026-06-25,03:00,组B,波斯尼亚,卡塔尔
2026-06-25,06:00,组C,苏格兰,巴西
2026-06-25,06:00,组C,摩洛哥,海地
2026-06-25,09:00,组A,捷克,墨西哥
2026-06-25,09:00,组A,南非,韩国
2026-06-26,04:00,组E,库拉索岛,科特迪瓦
2026-06-26,04:00,组E,厄瓜多尔,德国
2026-06-26,07:00,组F,日本,瑞典
2026-06-26,07:00,组F,突尼斯,荷兰
2026-06-26,10:00,组D,土耳其,美国
2026-06-26,10:00,组D,巴拉圭,澳大利亚
2026-06-27,03:00,组I,挪威,法国
2026-06-27,03:00,组I,塞内加尔,伊拉克
2026-06-27,08:00,组H,乌拉圭,西班牙
2026-06-27,08:00,组H,佛得角,沙特阿拉伯
2026-06-27,11:00,组G,埃及,伊朗
2026-06-27,11:00,组G,新西兰,比利时
2026-06-28,05:00,组L,巴拿马,英格兰
2026-06-28,05:00,组L,克罗地亚,加纳
2026-06-28,07:30,组K,刚果民主共和国,乌兹别克斯坦
2026-06-28,07:30,组K,哥伦比亚,葡萄牙
2026-06-28,10:00,组J,约旦,阿根廷
2026-06-28,10:00,组J,阿尔及利亚,奥地利
